code,symbol,name
974,ТЫС ТОННАЖ. СУТ,Тысяча тоннаже-сут
975,СУГО. СУТ,Суго-сутки
976,ШТ В 20 ФУТ ЭКВИВ,Штук в 20-футовом эквиваленте (ДФЭ)
977,КАНАЛ. КМ,Канало-километр
978,КАНАЛ. КОНЦ,Канало-концы
979,ТЫС ЭКЗ,Тысяча экземпляров
980,ТЫС ДОЛЛАР,Тысяча долларов
9803,МЛРД ДОЛЛАР,Миллиард долларов
981,ТЫС Т КОРМ ЕД,Тысяча тонн кормовых единиц
982,МЛН Т КОРМ ЕД,Миллион тонн кормовых единиц
985,ТЫС ГОЛ,Тысяча голов
986,ТЫС КРАСК ОТТИСК,Тысяча краско-оттисков
988,МЛН УСЛ ПЛИТ,Миллион условных плиток
2314,МКГР/С,Микрогрей в секунду
